name,country,sport,height
Walter Brown,1,3,1.81
Shawn Richard,2,1,1.89
Matthew Johnson,2,1,1.5
Ryan Richard,1,3,2.07
Troy Nelson,1,2,1.84
Mark Hunt,1,1,1.68
Jennifer Norris,3,3,1.94
Anna Reyes,1,3,2.06
Leonard Scott,1,3,2.06
James Smith DDS,4,2,2.06
Donna Lucas,4,2,1.83
Michael Williams,1,2,1.85
Jason Garcia,1,2,2.01
Kenneth Hogan,2,2,2.01
Mrs. Stephanie Armstrong,4,3,2.3
Matthew Mills,1,3,1.8
Terri Wilkins,4,3,2.08
James Carson,1,2,1.85
Olivia Jacobs,2,2,1.95
Terry Hayes,1,1,1.8
Wayne Pineda,2,3,2.06
Justin Williams,1,2,1.86
Thomas Knight,1,2,1.97
Kathryn Hood,4,1,1.67
Kristina Cruz,2,2,2.11
Michael Chen,3,2,1.94
Kenneth Simmons,3,1,1.63
Jessica Barnett,1,3,2.05
Jordan Holt,1,1,1.67
Daniel Skinner,1,1,1.66
Sara Brooks,1,1,1.65
Douglas Oliver Jr.,1,1,1.77
Brian Castro,3,1,1.75
Barbara Chambers,4,2,1.82
Sandy Williams,4,1,1.58
Deborah Malone,1,1,1.73
James Wall,1,1,1.67
Colleen Lambert,1,3,2.0
Stephanie Patterson,4,1,1.63
Nicole Barber,1,3,2.14
Courtney Frank,2,2,1.99
John Martin,1,2,1.71
James Sellers,4,1,1.92
Megan White,3,1,1.79
Susan Summers,1,2,2.03
Robert Brooks,1,3,1.99
Catherine Hansen,1,3,1.83
Erika Stone,1,2,1.7
Joann Reeves,2,3,2.05
Maureen Davis,1,1,1.61
Nancy Garcia,1,3,1.97
Ethan Garcia,2,2,2.03
Chelsea Phillips,1,3,2.09
Bobby Vargas,1,1,1.54
Tyler Wall,2,1,1.62
Matthew Wheeler,1,2,1.92
Gabriel Maldonado,2,2,1.58
Michelle Hale,1,2,1.82
Leslie Goodman,2,3,1.89
Johnny Jones,4,1,1.76
Kimberly Fernandez,3,1,1.7
Rodney Hart,1,2,1.92
Michael Hernandez,1,3,2.01
Terry Lewis,2,2,1.77
Frank Evans,4,3,2.26
Kristina Smith,1,1,1.98
Michael Wiley,1,1,1.77
Heather Long,1,2,2.02
Daniel Garcia,1,1,1.52
James Mckinney,2,1,1.61
Robert Lowe,1,2,1.74
Donald Elliott,1,3,1.84
Cathy Fischer,1,2,2.14
Evan Smith,1,1,1.61
Brett Murillo,1,3,2.17
Jordan Miller,1,3,2.02
Elizabeth Banks,2,2,1.98
Susan Martin,1,2,1.92
Hannah Wallace,1,3,1.97
Heather Bell,3,3,1.94
Russell Meyers,4,2,1.81
Roy Lara,3,1,1.64
Emma Wilson,1,2,2.03
Jason Campbell,1,3,2.04
Shannon Flores,1,3,2.04
Julie Levy,3,3,1.86
Jason Kidd,1,3,2.07
Ashlee Baker,4,2,1.82
Penny Hubbard,1,2,1.84
Janet Luna,1,1,1.73
Isaac Hoffman,1,2,1.9
Christina Campbell,2,3,1.9
Timothy Kelley,1,1,1.75
Lawrence Hicks,2,3,1.98
Roberto Chambers,1,3,1.82
Regina Garcia,1,3,1.98
Ariel Mendez DVM,1,2,1.86
Shawn Solis,1,2,1.9
Rebecca Gonzales,4,3,2.02
Kevin Mccoy,2,2,2.01
Robert Weber,2,3,2.07
Helen Adams PhD,2,1,1.86
Joseph Strickland,4,1,1.57
Donald Bryant,1,2,1.87
Kimberly Lee,3,2,2.01
Donna Williams,1,2,1.92
Bianca Reynolds,1,1,1.74
Christopher Elliott,2,1,1.7
Cynthia Simon,1,3,1.94
Beverly White,3,1,1.77
Sherri Smith,1,2,1.68
Dwayne Young,4,2,1.94
Eric Paul,1,3,2.07
Todd Jackson,2,3,2.17
Connor Holland,1,1,1.67
Cody Khan,1,2,1.93
Catherine Young,1,3,1.98
Cynthia Hunt,1,2,1.81
Michael Mitchell,1,1,1.65
Kara Wilkins,3,3,2.15
John Johnson,4,2,1.78
Robert Turner,2,3,1.77
Adam Kidd,4,3,2.1
Tyler Perez,1,1,1.62
Katherine Warren,1,3,2.0
Kristi Williams,4,2,1.91
Ryan Hayes,1,3,1.81
Brian Brandt,2,2,2.03
Joseph Peterson,3,1,1.97
Brandon Davis,1,1,1.71
Alexis Smith,1,1,1.81
Shawn Green,1,3,2.02
Michelle Harris,1,3,1.86
Michael Kim,1,3,2.1
Jonathan Gates,1,1,1.6
David Weber,4,3,2.09
Jessica Holland,1,3,2.02
Steven Brooks,2,1,1.51
Margaret Wang,2,2,2.03
Barbara Williams,1,2,1.94
Miss Jennifer Nolan,1,2,1.95
Richard Holmes,1,1,1.59
Adriana Hutchinson,4,2,1.75
Brooke Adams,1,3,1.88
Brenda Green,1,1,1.83
Jennifer Davis,1,1,1.8
Tammie Ward,1,2,2.11
Valerie Middleton,1,2,1.81
Cory Brown,2,2,1.96
Tara Vincent,2,3,2.07
Erika Petty,2,3,2.14
Chelsea Graves,2,3,1.99
Julie Ashley,2,2,2.03
Joseph Gilbert,1,1,1.78
Gabrielle Ayala,1,2,2.07
Mrs. Sarah Smith MD,1,1,1.58
Lisa Martinez,4,2,2.06
Linda Morrison,1,2,1.58
David Taylor,3,3,1.96
Jennifer Haynes,3,2,1.87
Margaret Chavez,1,2,1.81
Darrell Jimenez,1,2,2.06
Joseph Mason,4,3,1.97
Katherine Silva,1,3,2.1
Tina Caldwell,1,3,2.0
Sean Mcgee,1,1,1.7
Vernon Duarte,1,1,1.69
Erik Odonnell,1,1,1.76
Jay Mitchell,3,2,1.95
Nathaniel Jones,3,1,1.76
Gabrielle Harris,1,1,1.78
Sherry Jacobson,1,3,1.84
Stephanie Luna,1,3,2.14
Sandra Adams,1,1,1.71
Samantha Soto,1,3,1.82
Stephanie Johns,1,2,1.85
Christopher Anderson,1,1,1.84
Melissa Moore,1,3,2.0
Jared Clark,1,1,1.83
Aaron Combs,2,3,2.05
Stephanie Williams,3,3,1.96
Amanda Johnson,1,1,1.83
Cassandra Taylor,4,2,1.68
Christopher Adams,1,3,1.95
Olivia Howell,3,1,1.93
Brandon Jones,1,2,1.78
Steven Morales,1,2,2.03
Brandon Davis,4,3,2.0
Patrick Lee,1,2,1.89
Jacob Williams,3,1,1.69
Erin Morgan,1,3,1.98
Derek Gonzales,1,1,1.72
Justin Ross,1,3,1.79
Kimberly Williams,1,3,2.21
Lydia Vance,3,2,2.13
Shawn Powell,1,3,2.0
Joyce White,1,1,1.67
Kaitlyn Lynn,1,3,1.91
Mariah Rojas,1,3,1.94
Jennifer Hernandez,1,1,1.61
Mary Gordon,3,1,1.83
Jennifer Taylor,1,3,2.11
Michael Carter,2,2,1.92
Rebecca Powell,2,2,1.68
Raymond Day,1,1,1.61
Ryan Bailey,1,2,2.19
Amy Adams,3,3,1.97
Shannon Wiley,1,1,1.58
Benjamin Ross,2,3,2.18
Joseph Dunn,2,1,1.83
Jody Stewart,1,1,1.65
Brian Singh,1,1,1.74
Dakota Ramirez,2,1,1.52
Matthew Solis,3,1,1.55
Michelle Bolton,4,3,2.19
Dawn Bell,1,3,2.13
Alyssa Walker,1,1,1.7
Dustin Martin,2,2,2.04
Steven Simon,3,3,2.08
Tonya Campbell,2,1,1.5
Nicholas Miller,1,3,2.17
Brian Morgan,3,1,1.75
Melissa Matthews,1,2,1.87
Troy Coleman,1,3,1.94
Renee Braun,3,2,2.02
John Wiggins,1,1,1.69
Jeffrey Mitchell,1,1,1.75
Jose Schultz,1,3,2.13
William Henderson,2,3,2.06
Robert Morton,4,1,1.63
Janice Garcia,4,3,1.95
Caitlin Bryant,1,3,2.09
Brian Harper DDS,2,3,2.06
Joshua Spears,1,3,2.02
John Wheeler,4,3,2.22
Lorraine Graves,4,1,1.82
April Hines,3,2,1.91
Yvonne Hanna,3,1,1.66
Roy Brown,3,3,1.87
Stephanie Carr,4,1,1.66
Phillip Cummings,3,3,2.05
Valerie Mitchell,1,3,2.19
Jennifer Sanchez,1,1,1.74
Micheal Anderson,3,3,2.0
Elizabeth Johnson,2,1,1.52
Bryan Smith,1,2,1.9
Jennifer Martinez,1,1,1.78
Mr. Gary Mosley,4,1,1.87
Michael Nguyen,2,1,1.85
Darlene Morales,1,3,2.04
Christopher Goodman,1,2,1.96
Amber Bryant,1,1,1.61
Karen Henderson,4,3,2.05
Desiree Wright,2,1,1.72
Courtney Henry,1,2,1.91
Lindsay Griffith,1,2,2.14
Kristy Coleman,1,3,1.95
Jennifer Black,1,3,2.07
Maria Turner,2,1,1.88
Breanna Evans,1,1,1.69
Danielle Shepherd,2,2,1.83
Catherine Nielsen,1,1,1.76
Dr. Curtis Rivera,1,1,1.72
Laura Meyer,3,3,2.01
Toni Norris,2,3,2.04
Mr. Todd Rivera,3,3,1.77
Lisa Lynch,3,3,1.97
Tyler Miller,1,1,1.71
Austin Lowery DVM,2,3,1.94
Joseph Walters,1,1,1.55
Wendy Watkins,1,2,2.01
Linda Sutton,1,1,1.82
Stuart Stevenson,1,2,1.74
Michael Lewis,1,3,2.04
Kimberly Yates,1,1,1.9
Debra Cox,1,1,1.56
Jay Lee,2,2,2.06
Eric Thomas,1,3,2.29
Sandra Ryan,1,3,1.92
Emma Andersen,1,3,2.01
Brandon Hudson,1,3,2.01
Ryan Barker,1,2,1.89
Bonnie Hester,4,2,1.84
Sarah Mcpherson,3,3,2.01
Candice Williams,3,2,1.82
Janice Vega,1,1,1.84
Lawrence Cruz,1,3,2.08
Jonathan Lewis,2,1,1.7
Nancy Baker,1,1,1.61
Kaitlyn Hernandez,1,2,1.88
Jesse Gonzalez,2,3,1.99
Leah Moss,2,2,1.82
Christian Jones,1,3,1.96
Diana Monroe,4,1,1.87
Benjamin Jones,4,2,1.86
Elizabeth Robinson,1,2,1.96
Katherine Guerrero,2,3,2.02
David Ramirez,1,1,1.69
Tracy Harris,4,1,1.51
Kimberly Landry,1,1,1.73
Martha Smith,1,3,2.07
Jason Park,2,1,1.74
Mr. Jose Olsen DDS,1,2,1.81
Kendra Ryan,1,2,1.86
Oscar Taylor,4,3,1.9
Tammy Sexton,2,2,1.95
Matthew Baker,1,2,1.86
Ricky Thomas,1,3,1.79
Crystal Lewis,1,1,1.79
Robert Martinez,4,3,1.91
Ashley Taylor,1,1,1.64
Jessica Stewart,1,1,1.69
Joshua Russell,1,2,2.07
Amanda Liu,2,3,2.13
Cody Wilson,2,3,2.14
Julie Norman,2,1,1.69
Sarah Lewis,1,2,1.7
Robin Ryan MD,4,2,1.91
Veronica Taylor,2,1,1.72
Brenda Stephens,1,2,1.89
Wendy Brown,2,2,1.86
Eric Shelton,4,3,1.96
Jane Myers,2,2,1.85
George Smith,2,2,1.78
Jesse Thompson,1,1,1.86
John Simmons,1,2,1.82
Joshua Hernandez,1,1,1.5
Brittney Young,1,1,1.5
Abigail Thomas,1,1,1.9
Todd Allen,2,1,1.74
Samantha Lam,1,1,1.64
Renee Lewis,1,2,1.93
Jason Ramos,1,1,1.73
Adam Johnson,4,1,1.67
Michael Gray,1,1,1.72
Heather Phillips,3,3,1.8
Christina Harris,1,2,1.91
Patricia Ellison,1,2,1.88
Dawn Long,1,3,2.08
Matthew Petty,3,2,1.68
Renee Walsh,1,1,1.55
Andrea Willis,4,3,2.09
Jacob Taylor,1,1,1.5
Jessica Francis,1,1,1.61
Denise Jenkins,2,3,1.69
Margaret White,1,2,2.06
Andrew Price,4,3,2.14
Tammy Gonzales,2,2,1.95
Sharon Velez,1,2,2.07
Isaac Jenkins,1,2,1.9
Frances Wilkinson,1,1,1.61
Jamie Lewis,3,1,1.63
Kristina Jones,1,1,1.68
Casey Thomas,1,1,1.59
Jennifer Mckenzie,1,2,1.88
Michael Fleming,1,1,1.84
Craig Hodges,2,1,1.65
Michele Foley,4,3,2.02
Steven Torres,2,2,1.86
Mrs. Lauren Soto,2,1,1.53
Robert Grant,1,3,1.76
Richard Torres,1,1,1.79
Katherine Atkinson,1,3,2.07
Jessica Gonzalez,1,2,1.96
Brooke Turner,1,3,2.08
Rebekah Johnson,1,3,1.86
Allison Howell,1,3,1.88
Anna Andrews,2,2,2.13
Donald Jones,4,1,1.82
Michelle Turner,1,2,1.85
Jessica Hanson,1,3,2.09
Amanda Garrison,1,3,2.09
Michelle Mitchell,3,2,1.69
Richard Mcmahon,1,1,1.6
Anthony Jones,4,1,1.76
Brittany Campbell,1,2,1.92
Jeffrey Boyd,1,3,2.14
Amy Adams,4,3,2.13
Jasmine Williams,1,3,1.99
Dennis Lee,2,1,1.6
Dana Graham,1,3,1.84
Michael Guerrero,1,1,1.83
Kiara Bauer,2,1,1.76
Mathew Logan,1,3,1.88
Mr. Tommy Knight,1,1,1.81
Casey Horne,2,2,1.94
Jessica Bullock,3,1,1.71
Gwendolyn Fernandez,1,2,1.72
Rachael Coleman,1,1,1.61
Jessica Smith,4,1,1.71
Courtney Garcia,3,2,1.83
Allison Herrera,1,3,1.96
Antonio Harris,2,2,1.99
Shari Gross,1,3,1.96
Crystal Smith,3,3,1.74
Jennifer Houston,1,3,1.98
Michael Dixon,4,3,1.69
Mary Pope,2,2,1.78
Drew Butler,1,1,1.57
Veronica Johnson,1,3,1.91
Tara Savage,1,1,1.85
Nicole Rogers,2,3,1.97
Valerie Goodman,1,2,1.99
Alexander Diaz,1,2,2.05
Tiffany Hall,1,2,1.93
Norman Berry,2,1,1.64
Sandra Atkins,4,2,1.97
Patricia Pena,3,1,1.67
Ronald Bowen,1,1,1.61
Nicole Hill,2,1,1.71
Christopher Williams,1,1,1.54
Michael Herrera,4,2,1.87
Luis Rogers,3,2,1.88
Hunter Robertson II,1,2,2.06
Steven Holland,1,1,1.58
Natalie Fields,2,2,1.75
Penny Lewis,2,2,2.03
Sarah Fisher,1,1,1.61
Dennis Wood,1,1,1.7
Lauren Bernard,1,3,1.95
Sheila Wong,1,3,2.3
Carla Morgan,1,3,2.27
Chad Austin,1,3,2.04
Ashley Dennis,1,1,1.72
Kayla Barnes,3,1,1.89
Brooke Neal,1,2,2.05
Linda Gross,2,2,1.7
Melissa Jennings,1,3,2.07
Austin Martinez,2,3,2.13
Tammy Kidd,1,1,1.78
Kelly Flores,4,1,1.73
Melissa Roman,1,2,1.69
Stephanie Clark,2,1,1.73
David Fernandez,2,1,1.7
David Morales,1,1,1.96
Jeffrey Andrews,2,1,1.63
Dr. Cindy Jefferson,1,1,1.66
Kristen Williams,1,1,1.6
Craig Schaefer,1,2,1.94
Christian Carrillo,3,2,1.87
William Griffin,1,2,1.91
Christopher Roy,1,2,1.84
Ronald Wilkinson,2,3,2.13
Garrett Quinn,1,2,1.77
Lisa Shelton,4,3,2.06
Jeffrey Parker,3,2,1.9
Joanna Mosley,1,2,1.77
Mark Oneal,1,1,1.7
James Hansen,1,3,1.9
Jaime Cantu,2,2,1.74
Phillip Shields,3,2,1.96
Robert Smith,2,1,1.65
Danielle Hubbard,2,3,2.07
Isaac Smith,2,2,2.01
Kelly Zuniga,2,1,1.86
Stacey Wilson,1,1,1.71
Nicole Davis,1,3,2.04
Ryan Lee,2,3,2.16
Kimberly Burns,3,3,2.06
Candice Pittman,3,3,2.01
Taylor Williams,1,2,1.98
Norman Wright,1,1,1.63
William Mcpherson,1,3,2.08
Nicholas Benton,1,2,1.98
Corey Griffin,1,2,1.88
Rebekah James,1,2,1.85
Latasha Fleming,2,3,1.79
Julia Humphrey,1,1,1.75
Ronnie Richardson,2,2,1.99
Anthony Garcia,1,2,1.87
Gabrielle Taylor,2,1,1.59
Cynthia Davis,4,1,1.76
Vincent Brown,1,2,1.78
Scott Woods,2,3,2.3
Jason Montgomery,4,1,1.61
Pamela Landry,1,2,2.19
Nathan Roberts,1,2,2.04
Karen Hall,1,1,1.8
Brian Lopez,1,3,2.07
Peter Drake,1,2,1.88
Michael Butler,2,1,1.57
Jessica Chen,1,2,1.86
Sharon Wiley,3,3,1.99
William Bennett,3,3,1.98
Jesse Frank,3,2,1.93
Andrew Galloway,3,3,1.98
Rachel Clark,1,1,1.85
Sherri Barron,1,3,2.18
Edwin Walker,2,1,1.69
Kristin Mullins,2,1,1.67
Jaime Perry,1,2,1.7
Steven Hickman,1,1,1.73
Deborah Baker,1,1,1.78
Autumn Gray,1,3,1.88
Katherine Howard,4,1,1.76
Tanya Wolf,2,3,1.8
Rhonda Lamb,1,1,1.71
Caitlin Turner,4,3,1.87
David Medina,4,2,1.88
John Castro,4,2,1.98
Joan Stanley,1,2,1.8
Lauren Phillips,4,3,1.82
Brandon Juarez,1,2,2.01
Robert Owens,3,3,1.92
Michael Santos,1,1,1.7
Abigail Lang,3,3,2.21
Matthew Chaney,2,1,1.79
Anthony Ross,4,3,1.87
Leslie Taylor,2,1,1.7
Melanie Jones,1,1,1.62
Ms. Sandra Espinoza,2,3,1.92
Billy Young,1,1,1.95
Rhonda Hoover,2,3,1.99
Nicole Lamb,1,1,1.71
Jasmine Coleman,1,3,2.08
Michael Long,2,3,2.06
Vicki Vega,1,3,1.76
Ronald Clark,1,1,1.74
Joseph Rivas,1,2,1.94
Matthew Hubbard,3,2,1.94
Jennifer Smith,1,2,1.84
Matthew Gilmore,1,2,2.18
Michael Booker,3,2,1.82
Miss Rachel Galloway,1,2,1.94
John Sanchez,1,3,2.14
Jared Miller,3,1,1.87
Kevin Klein,1,3,2.06
Sabrina Hodge,1,2,1.98
Deborah Olsen,1,2,2.05
Sophia Santiago,3,3,2.02
Dean Stewart,1,3,1.94
Steve Livingston,3,3,1.84
Kathleen Jones,1,1,1.6
Shawna Stewart,1,2,1.85
Heather Russell,1,2,1.8
Kyle Friedman,1,2,1.89
Annette Smith,3,1,1.5
Erin Escobar,2,3,2.14
Deborah Ward,1,1,1.7
Kenneth Martin,1,1,1.61
Paul Ford,4,2,1.78
Amber Rodriguez,1,3,2.08
Mariah Brown,1,2,2.01
Jennifer Romero,1,2,1.81
Matthew Clarke,1,3,2.22
Kristin Perez,2,3,1.9
Megan Alvarado,1,3,2.25
John Jackson,1,2,2.08
John Warren,4,2,1.89
Michele Wolf,1,1,1.54
Lisa Woodward,1,2,1.69
Chad Holmes,1,2,1.84
Matthew Gomez,1,2,2.07
Melody Mcdonald,1,2,1.91
Sydney Webster,3,2,1.78
Scott Miranda,1,1,1.71
Charlotte Gaines,1,3,1.97
Joshua Moses,1,3,1.96
Annette Cain,1,2,2.07
Janet Hernandez,1,1,1.99
Marissa Graham,3,3,1.92
Jose Castillo,1,1,1.5
Christina Luna,3,2,2.02
Meredith Reynolds,1,2,1.89
Leah Ortiz,1,2,1.83
Maureen Lynch,1,3,1.98
Kimberly Smith,2,1,1.62
Tracy Buchanan,4,2,1.87
Mr. Andrew Richardson DDS,2,2,1.96
Natalie Harrison,4,1,1.71
Stephen Burgess,2,1,1.63
Melissa Orr,1,1,1.9
Melissa Navarro,3,1,1.5
Brenda Shaffer,1,2,1.92
Sheila Campbell,2,1,1.69
Michael Hamilton,1,3,1.98
Barbara Wilkerson,2,2,1.98
Kevin Hoffman,2,2,1.94
Mia Cortez,1,2,1.86
Jeffery Riddle,1,1,1.89
Sandra Stevens,1,3,2.04
Christina Wilson,2,3,1.69
Carrie Todd,4,2,2.03
Matthew Frank,1,3,1.92
Linda Simon,1,2,2.04
Christopher Burke,1,2,1.84
Kyle Knight MD,4,3,2.18
Samantha Mccullough,1,2,1.7
Phillip Esparza,1,2,1.84
James Garcia,1,1,1.68
Becky Davis,1,1,1.55
Sara Gutierrez,1,1,1.8
David Carr,1,3,2.16
Lacey Dennis,1,3,2.04
Rachel Johns,2,1,1.9
Samuel Torres,2,1,1.72
Anthony Richardson,4,2,1.88
Timothy Blanchard,1,2,1.84
Ruth Atkinson,3,2,1.95
Jeffery Miller,4,1,1.77
Travis Horne,2,1,1.86
Alexa Johnson,2,2,1.7
Christopher Simpson,2,2,2.13
Ashley Garcia,1,3,2.0
Jill Hopkins,2,2,1.95
Lindsey Scott,1,1,1.8
Alexis Davis,2,1,1.72
Frank Yates,1,2,2.06
David Mcdaniel,1,1,1.8
Eric Terry,1,3,2.11
Samantha Snyder,1,2,1.97
Richard Kelly,1,3,1.91
Andrew Roman,1,2,1.93
Carlos Gardner,1,1,1.81
Elizabeth Rodriguez,4,3,2.04
Michelle Schultz,1,2,1.67
Nicole Young,1,3,2.23
Darlene Patterson,1,2,1.68
Paul Farmer,1,3,2.07
Briana Lee,1,3,2.08
Laura Smith,2,3,2.0
Phillip Wise,3,2,1.8
Anna Glenn,1,1,1.67
Tanya Miller,1,3,2.17
Ryan Ramirez,1,2,1.99
Jacob Ball,1,2,1.97
Robin Keith,1,2,1.84
Mark Rodriguez,4,2,1.99
Teresa Klein,1,1,1.77
Anna Davis,2,3,1.99
Carl Smith,2,2,1.98
Tiffany Gillespie,1,1,1.77
Courtney Strickland,2,2,1.73
Robert Lowery,2,1,1.71
Deanna Hines,1,1,1.56
Christopher Bray,2,1,1.78
Sandra Newman,2,1,1.77
Debra Gonzalez,4,2,1.83
Steven Novak,4,1,1.62
Lisa Avila,1,3,2.07
Katherine Juarez,1,1,1.83
Gregory Schmidt,2,2,1.95
Daniel Rodriguez,2,3,2.02
Edward Rollins,1,2,1.98
Nicholas Taylor,1,3,2.01
Michael Fisher,3,2,1.97
Roberto Chung,1,2,2.13
Justin Miller,4,2,1.84
Andrew Farley,1,1,1.73
Cynthia Crawford,1,2,2.05
Theresa Acosta,2,2,1.99
Stacey Olsen,1,3,2.23
Christine White,3,2,1.94
Paul Gaines,1,2,1.67
Nancy Alexander,1,3,1.97
Joseph Scott,1,1,1.81
Jocelyn Long,2,3,2.19
Sharon Dorsey,4,1,1.8
Timothy Cowan,3,2,1.96
Mario Olson,2,1,1.61
Katherine Lee,1,2,1.75
Laura Rivera,1,2,1.73
Richard Klein,1,3,1.86
Maria Wilson,1,1,1.54
Danielle Wilson,1,1,1.5
Jason Hill,1,2,1.85
Dr. Amanda Russell MD,1,1,1.84
Danielle Roberts,1,1,1.93
Michele Hayes,1,1,1.69
Maria Green,2,3,2.05
Victoria Martinez,1,2,1.96
George Martinez,1,3,2.0
Erica Mcconnell,1,3,2.13
Andrew Gomez,1,1,1.78
Keith Baldwin,1,2,1.74
Jesse Smith,3,3,2.1
Dustin Glover,1,3,1.96
Anna Henson,1,3,2.21
Tyler Horton,1,2,1.8
Thomas Brennan,1,1,1.76
Joyce Peterson,2,2,1.94
Nicole Johnson,1,1,1.74
Frederick Anderson,1,3,1.98
Richard Vaughn,1,1,1.77
Sean Diaz,1,2,1.97
Dorothy Woodard,3,1,1.61
William Brown,1,1,1.85
Cesar Logan,2,1,1.9
Paula Moore,1,1,1.8
Joseph Ayers,4,2,1.75
James Williams,1,2,1.86
Tracey Evans,1,3,2.16
Adam Brown,1,1,1.63
Michelle Smith,3,1,1.8
Hunter Greene,1,1,1.75
Jeremy Lewis,1,2,2.09
Mr. Caleb Christensen,3,3,1.99
Haley Lewis,1,2,2.05
Jessica Jarvis,1,2,1.86
Paula Pierce,1,3,2.1
Tiffany Sanchez,1,3,2.3
Jennifer Jones,2,1,1.56
Melanie Kim,1,3,2.14
Tara Morris,2,2,2.15
Gina Allen,1,2,2.04
Melissa Brown,1,3,2.08
Karen Morgan,4,2,1.91
Jonathan Fowler,3,1,1.76
Roberto Lee,2,3,1.94
Aaron Gentry,1,2,2.01
Timothy Ramsey,1,3,2.17
Savannah Scott,2,1,1.77
James Ellis,2,2,1.89
Jennifer Horne,2,2,1.82
Alyssa Butler,2,1,1.65
Laura Jones,4,1,1.62
John Olson,1,2,1.87
James Clayton,1,2,1.91
Matthew Becker,2,3,1.88
Jerry Smith,1,2,1.78
Brian Ferrell,1,2,1.96
Alexandra Schmitt,1,1,1.7
Vanessa Walsh,2,1,1.67
Chase Hooper,1,3,1.89
James Snow,2,3,1.89
Michael Horne,1,1,1.77
Brittany Kelley,2,3,1.89
Rodney Ponce,1,3,1.94
Shannon Williams,1,2,1.98
Sarah Mcguire,1,2,1.78
Terri Rivers,1,1,1.93
Mary Watkins,1,2,1.87
David Miller,1,1,1.71
Thomas Whitaker,1,1,1.83
Jamie Schultz,1,1,1.72
Kelsey Young,1,3,1.92
Heather Clarke,1,3,2.13
James Evans,1,3,2.16
Angel Martin,2,1,1.77
Christopher Harrell,3,1,1.97
David Barrett,3,2,2.03
Dr. Katherine Arnold,1,2,2.02
Derek Ford,1,1,1.65
Betty Crosby,1,3,2.27
Glenda Brown,1,3,2.14
Timothy Gross,2,3,2.09
Mary Phillips,4,3,1.9
Christina Pena,2,3,2.0
Joshua Miller,1,3,2.1
Ashley Guzman,2,1,1.89
Jacqueline Vazquez MD,2,2,1.9
Brad Brown,3,1,1.54
Allison Smith,4,2,2.03
Gabriel Harris,4,1,1.78
Heather Caldwell,1,3,2.11
Wayne Williams,1,2,1.87
Lori Martinez,1,2,1.89
Derek Tran,2,1,1.66
Amy Solis,1,2,1.89
Elizabeth Ellis,1,1,1.61
Wendy Smith,1,3,2.15
Michelle Wagner,1,2,1.84
Andrew Hudson,1,3,1.95
Michael Sanchez,2,2,1.98
Andre Jacobs,1,2,1.97
Dan Rodriguez,1,2,1.9
Sheila Escobar,1,3,2.21
Dawn Robinson,1,3,2.01
Kendra Diaz,1,1,1.68
Mark Olsen,1,3,2.1
Eric Mccormick,4,3,1.95
Kristi Johnson,1,3,1.9
Dr. Judy Sellers,1,2,1.81
Casey Gallegos,1,1,1.7
Dwayne Carr,1,2,2.02
Laura Thompson,2,1,1.79
Chad Bray,1,1,1.53
Luke Hendricks,2,2,2.07
Paul Robinson PhD,1,2,2.02
Warren Collins,2,3,2.06
Laura Burns,2,1,1.64
Michael Warner,1,2,1.75
Warren Perkins,1,3,1.79
Margaret Adams,1,3,2.05
Timothy Johnson,1,2,1.96
Natasha Williams,3,1,1.7
Rachel Reed,4,1,1.74
Teresa Williams,1,3,1.96
William Taylor,3,1,1.79
Tammy Harper,1,2,1.77
Lynn Adams,1,3,2.23
Daniel Houston DVM,3,2,1.87
Rebecca Duncan,1,1,1.9
April Johns,2,3,1.98
John Cox,1,3,2.17
Melissa Hamilton,1,2,2.05
Carol Cole,3,1,1.61
Johnny Winters,4,1,1.74
Taylor Hoffman,1,2,2.05
Andrew Nichols,2,1,1.63
Jacqueline Young,1,1,1.72
Ronald Curtis,1,2,1.9
Helen Brewer,2,3,1.86
Michelle Ward,1,1,1.71
Jonathan Evans,1,3,1.99
Justin Nunez,3,1,1.73
Danny Suarez,1,1,1.81
Maureen Aguirre,2,1,1.5
Tom Stewart,1,3,1.96
Christopher Reyes,2,3,2.27
Jennifer Brown,1,1,1.68
Amanda Smith,1,3,1.99
Laura Chambers,1,2,1.76
Lisa Case,1,1,1.67
Nancy Marshall,2,3,2.14
Anita Graham,1,2,1.7
Joseph Smith,4,2,1.83
Brittany Nielsen,2,3,2.16
Michelle Ramirez,4,1,1.51
Michael Poole,2,3,2.21
Cassandra Bruce,2,1,1.67
Stacy French,1,2,1.98
Bethany Hernandez,1,1,1.56
Victor Daugherty,4,1,1.94
Andrew Bell,2,2,1.89
Amanda Miller,2,1,1.69
Rhonda Lawrence,1,3,2.14
Molly Frazier,1,2,1.93
Emily Martin,2,3,2.0
Thomas Rios,2,1,1.59
Kimberly Carter,4,2,1.87
Crystal Smith,2,2,1.97
Jeffery Sullivan,2,3,1.9
Michele Johnson,2,1,1.82
Tara Williams,2,1,1.73
Brandi Wallace,1,2,1.86
Gregory Thomas,1,2,1.62
Christopher Johnson,4,3,1.95
Katherine Bass,1,2,1.83
Veronica Armstrong,1,2,1.93
William Parrish,3,2,1.96
Christopher King,1,1,1.64
Connie Cohen,1,1,1.66
Teresa Martinez,1,1,1.8
Michael Cooper,2,1,1.63
Victor Turner,2,2,1.69
Steven Smith,1,3,2.15
Norma Murphy MD,4,3,2.13
Michael Avery,3,1,1.63
Benjamin Gonzalez,1,3,2.02
